date,t1_ph,h2s_ppm,biogas_vol,t1_olr,methane_percentage,eq_cod,t1_cod,fostac
2022-07-10,7.333333333333334,852.0,887.0,4.19,68.1,17461,3045,0.2233333333333333
2022-07-11,7.4,744.0,887.0,3.33,74.2,19194,1761,0.17
2022-07-12,7.3,985.0,933.0,6.2,66.5,19389,1761,0.29
2022-07-13,7.4,935.0,1048.0,5.29,68.7,16542,1761,0.32
2022-07-14,7.35,959.0,1075.0,4.9,68.5,15327,1761,0.31
2022-07-15,7.3,831.0,975.0,5.32,69.7,16614,1761,0.35
2022-07-16,7.416666666666667,730.0,935.0,5.32,69.7,16614,1761,0.2699999999999999
2022-07-17,7.533333333333333,629.0,935.0,3.54,69.7,16614,1761,0.1899999999999999
2022-07-18,7.65,528.0,935.0,3.16,76.6,16943,1761,0.11
2022-07-19,7.3,663.0,930.0,4.98,67.3,15559,1761,0.23
2022-07-20,7.35,661.0,1071.0,4.82,68.5,15070,1761,0.24
2022-07-21,7.4,606.0,1016.0,5.06,68.8,15811,1761,0.29
2022-07-22,7.3,578.0,1061.0,4.63,70.4,14456,1761,0.27
2022-07-23,7.33,578.0,1094.0,4.63,70.4,14456,1761,0.2866666666666667
2022-07-24,7.359999999999999,578.0,1094.0,4.63,70.4,14456,1761,0.3033333333333333
2022-07-25,7.39,578.0,1094.0,7.15,72.4,16762,2644,0.32
2022-07-26,7.24,894.0,1188.0,5.93,66.9,13909,2644,0.38
2022-07-27,7.18,787.0,1388.0,6.6,67.7,15469,2644,0.43
2022-07-28,7.13,758.0,1327.0,8.49,67.3,19901,2644,0.43
2022-07-29,6.9,924.0,1994.0,6.21,60.2,19421,2644,0.65
2022-07-30,7.033333333333333,825.6666666666666,1836.0,6.21,60.2,19421,2644,0.5566666666666666
2022-07-31,7.166666666666667,727.3333333333334,1836.0,6.21,60.2,19421,2644,0.4633333333333334
2022-08-01,7.3,629.0,1836.0,6.31,67.7,14797,2644,0.37
2022-08-02,7.1,640.0,1823.0,7.88,66.1,18460,2644,0.43
2022-08-03,7.1,575.0,1804.0,7.63,67.0,17874,2644,0.52
2022-08-04,7.2,614.0,2123.0,7.94,67.3,18607,2644,0.59
2022-08-05,7.3,591.0,1920.0,6.62,68.3,15504,3682,0.54
2022-08-06,7.233333333333333,623.3333333333334,1387.0,6.62,68.3,15504,3682,0.45
2022-08-07,7.166666666666666,655.6666666666666,1387.0,6.62,68.3,15504,3682,0.36
2022-08-08,7.1,688.0,1387.0,6.14,65.4,14381,3682,0.27
2022-08-09,7.4,614.0,1523.0,3.37,67.8,14025,3682,0.29
2022-08-10,7.3,450.0,1454.0,4.24,70.9,13259,4754,0.26
2022-08-11,7.3,177.0,1247.0,5.15,75.3,16081,4754,0.34
2022-08-12,7.1,350.0,1688.0,5.02,65.4,17914,4754,0.63
2022-08-13,7.3,252.66666666666669,1287.0,5.02,65.4,17914,4754,0.4533333333333333
2022-08-14,7.5,155.33333333333334,1287.0,5.02,65.4,17914,4754,0.2766666666666666
2022-08-15,7.7,58.0,1287.0,3.95,82.0,14112,4754,0.1
2022-08-16,7.2,179.0,959.0,3.99,69.4,14235,4754,0.35
2022-08-17,7.3,265.0,1557.0,4.42,72.0,13825,7397,0.36
2022-08-18,7.1,459.0,1828.0,4.93,65.4,20549,7397,0.54
2022-08-19,7.3,480.0,2007.0,4.88,67.0,20332,7397,0.54
2022-08-20,7.3,411.0,2241.0,4.88,67.0,20332,7397,0.5700000000000001
2022-08-21,7.3,342.0,2241.0,4.88,67.0,20332,7397,0.6
2022-08-22,7.3,273.0,2241.0,4.84,67.0,20176,7397,0.63
2022-08-23,7.3,224.0,2177.0,4.94,66.8,20570,7397,0.52
2022-08-24,7.2,214.0,1951.0,4.61,69.7,19188,4823,0.45
2022-08-25,7.3,194.0,2074.0,4.62,71.9,17330,4823,0.35
2022-08-26,7.5,130.0,492.0,4.22,76.5,15843,4823,0.12
2022-08-27,7.52975,121.5,1287.0,4.22,76.5,15843,4823,0.12
2022-08-28,7.5595,113.0,1287.0,0.0,76.5,15843,4823,0.12
2022-08-29,7.58925,104.5,1287.0,0.0,76.5,15843,4823,0.12
2022-08-30,7.619,96.0,1287.0,4.19,75.6,15715,4823,0.12
2022-08-31,7.689,118.0,298.0,3.65,73.8,13700,2539,0.11
2022-09-01,7.701,160.0,254.0,3.65,73.7,13700,2539,0.12
2022-09-02,7.625,7.0,279.0,1.51,73.6,11358,2539,0.13
2022-09-03,7.506666666666667,91.66666666666669,1322.0,3.03,73.6,11358,2539,0.2066666666666666
2022-09-04,7.388333333333333,176.33333333333334,1322.0,3.03,73.6,11358,2539,0.2833333333333333
2022-09-05,7.27,261.0,1322.0,3.63,73.1,11358,2539,0.36
2022-09-06,7.35,222.0,2015.0,5.13,69.8,16024,2539,0.41
2022-09-07,7.3,231.0,1736.0,4.44,74.6,13866,2539,0.38
2022-09-08,7.65,116.0,1351.0,5.07,73.1,15835,4758,0.37
2022-09-09,7.3,232.0,1447.0,3.96,72.0,12372,4758,0.37
2022-09-10,7.365333333333333,298.3333333333333,1392.0,3.96,72.0,12372,4758,0.34
2022-09-11,7.430666666666667,364.6666666666666,1392.0,3.96,72.0,12372,4758,0.31
2022-09-12,7.496,431.0,1392.0,4.43,69.2,13844,4989,0.28
2022-09-13,7.37,428.0,1681.5,4.43,69.2,13844,4989,0.285
2022-09-14,7.244,425.0,1681.5,6.18,70.2,13908,6132,0.29
2022-09-15,7.221999999999999,366.5,1761.0,6.18,70.2,13908,6132,0.385
2022-09-16,7.2,308.0,1761.0,6.85,69.9,15422,6132,0.48
2022-09-17,7.115,351.0,2088.0,6.85,69.9,15422,6132,0.495
2022-09-18,7.03,394.0,2088.0,6.85,69.9,15422,6132,0.51
2022-09-19,6.945,437.0,2088.0,6.85,69.9,15422,6132,0.525
2022-09-20,6.86,480.0,2088.0,4.31,68.0,9706,2158,0.54
2022-09-21,7.18,488.0,1569.0,4.03,71.2,9073,4349,0.28
2022-09-22,7.035,756.0,1952.0,4.03,71.2,9073,4349,0.48
2022-09-23,6.89,1024.0,1952.0,8.47,63.2,19065,6389,0.68
2022-09-24,6.926666666666667,950.0,2878.0,8.47,63.2,19065,6389,0.6900000000000001
2022-09-25,6.963333333333333,876.0,2878.0,8.47,63.2,19065,6389,0.7
2022-09-26,7.0,802.0,2878.0,7.54,67.4,16956,6909,0.71
2022-09-27,7.26,636.0,2493.0,7.54,67.4,16956,6909,0.615
2022-09-28,7.52,470.0,2493.0,5.17,72.9,11627,5006,0.52
2022-09-29,7.289999999999999,501.5,2029.0,5.17,72.9,11627,5006,0.495
2022-09-30,7.06,533.0,2029.0,7.54,66.7,16971,5377,0.47
2022-10-01,7.09,526.3333333333334,2660.0,7.54,66.7,16971,5377,0.4733333333333333
2022-10-02,7.12,519.6666666666666,2660.0,7.54,66.7,16971,5377,0.4766666666666666
2022-10-03,7.15,513.0,2660.0,6.19,66.7,15485,5107,0.48
2022-10-04,7.115,576.0,2326.0,6.19,66.7,15485,5107,0.44
2022-10-05,7.08,639.0,2326.0,7.07,66.6,14144,4679,0.4
2022-10-06,7.07,750.0,2273.0,7.07,66.6,14144,4679,0.505
2022-10-07,7.06,861.0,2273.0,7.73,65.7,15455,6981,0.61
2022-10-08,7.113333333333333,880.6666666666666,2453.0,7.73,65.7,15455,6981,0.5333333333333333
2022-10-09,7.166666666666666,900.3333333333334,2453.0,7.73,65.7,15455,6981,0.4566666666666666
2022-10-10,7.22,920.0,2453.0,4.75,68.9,9498,2963,0.38
2022-10-11,7.135,857.5,2316.5,4.75,68.9,9498,2963,0.425
2022-10-12,7.05,795.0,2316.5,6.18,66.7,11123,5147,0.47
2022-10-13,7.04,838.0,3127.5,6.18,66.7,11123,5147,0.62
2022-10-14,7.03,881.0,3127.5,8.33,67.0,14988,7296,0.77
2022-10-15,6.906666666666667,951.6666666666666,2377.0,8.33,67.0,14988,7296,0.7866666666666666
2022-10-16,6.783333333333333,1022.3333333333334,2377.0,8.33,67.0,14988,7296,0.8033333333333333
2022-10-17,6.66,1093.0,2377.0,8.79,64.3,32948,7834,0.82
2022-10-18,6.93,790.5,1231.0,8.79,64.3,32948,7834,0.82
2022-10-19,7.2,488.0,1231.0,4.24,73.4,9540,5259,0.24
2022-10-20,7.32,520.5,1453.0,4.24,73.4,9540,5259,0.275
2022-10-21,7.44,553.0,1453.0,2.18,63.2,4900,2289,0.31
2022-10-22,7.373333333333334,577.3333333333334,2142.0,2.18,63.2,4900,2289,0.33
2022-10-23,7.306666666666667,601.6666666666666,2142.0,2.18,63.2,4900,2289,0.35
2022-10-24,7.24,626.0,2142.0,13.37,67.8,30085,4886,0.37
2022-10-25,7.135,622.5,1538.5,13.37,67.8,30085,4886,0.385
2022-10-26,7.03,619.0,1538.5,5.15,64.5,11595,5240,0.4
2022-10-27,6.975,717.0,2856.5,5.15,64.5,11595,5240,0.595
2022-10-28,6.92,815.0,2856.5,9.23,66.8,20759,7643,0.79
